"Time","Yahoo Answers","Ask.fm","ai friend"
"2021-04-01",56,13,2
"2021-05-01",22,12,2
"2021-06-01",14,12,2
"2021-07-01",12,11,2
"2021-08-01",11,11,3
"2021-09-01",10,9,3
"2021-10-01",10,9,2
"2021-11-01",10,9,3
"2021-12-01",8,9,3
"2022-01-01",9,10,3
"2022-02-01",9,9,3
"2022-03-01",8,9,3
"2022-04-01",8,9,3
"2022-05-01",8,8,3
"2022-06-01",7,7,3
"2022-07-01",7,8,3
"2022-08-01",6,7,3
"2022-09-01",6,7,3
"2022-10-01",6,6,4
"2022-11-01",5,5,4
"2022-12-01",5,5,5
"2023-01-01",6,6,6
"2023-02-01",6,6,7
"2023-03-01",5,6,8
"2023-04-01",5,5,13
"2023-05-01",5,6,13
"2023-06-01",6,6,12
"2023-07-01",4,6,11
"2023-08-01",4,6,10
"2023-09-01",4,6,10
"2023-10-01",4,6,12
"2023-11-01",4,5,11
"2023-12-01",4,5,13
"2024-01-01",4,5,12
"2024-02-01",4,5,14
"2024-03-01",4,5,13
"2024-04-01",4,5,13
"2024-05-01",4,4,14
"2024-06-01",3,5,14
"2024-07-01",3,4,15
"2024-08-01",3,5,19
"2024-09-01",3,4,16
"2024-10-01",3,4,17
"2024-11-01",3,4,19
"2024-12-01",3,5,18
"2025-01-01",3,5,18
"2025-02-01",3,4,21
"2025-03-01",4,4,21
"2025-04-01",3,4,21
"2025-05-01",3,4,21
"2025-06-01",3,4,26
"2025-07-01",3,4,32
"2025-08-01",5,5,77
"2025-09-01",4,4,83
"2025-10-01",4,3,78
"2025-11-01",4,3,76
"2025-12-01",4,4,88
"2026-01-01",4,5,82
"2026-02-01",5,3,89
"2026-03-01",5,3,100
"2026-04-01",5,3,50
