country,weight,ai_heard,ai_cncexc,aireg_us,aireg_china,aireg_eu,aireg_country
2,0.592004975732815,2,2,2,8,2,2
2,0.446814121260916,2,3,4,4,2,2
2,1.1201098190977,2,2,4,4,8,2
2,0.695317009587297,2,2,4,4,1,2
2,0.369352017332687,1,3,3,3,2,2
2,0.433808414969651,2,2,2,4,2,1
2,0.369352017332687,2,2,3,3,2,2
2,2.48127239251815,2,2,3,3,3,2
2,0.70684919603856,2,2,4,8,2,1
2,0.644592551884431,1,3,2,3,2,2
2,0.446814121260916,1,2,4,4,1,1
2,0.433353449376915,1,3,4,4,8,8
2,0.574773105765007,1,2,3,3,2,3
2,0.433808414969651,2,2,3,4,1,4
2,1.1201098190977,3,3,4,8,8,8
2,1.32687052124115,2,1,4,2,1,2
2,0.876975393278181,2,2,4,4,2,2
2,1.15016756051996,1,2,2,4,4,2
2,1.36471941892757,2,2,4,3,3,8
2,2.48127239251815,2,3,4,4,4,3
2,0.511781919722532,1,3,4,4,2,2
2,1.65914953725018,2,2,3,3,2,2
2,0.547145115220469,1,2,4,4,2,2
2,1.37162767886629,1,2,4,4,4,4
2,0.547145115220469,3,3,8,4,8,8
2,0.851448705899868,2,1,3,3,2,2
2,1.74384902618096,1,3,8,2,1,2
2,0.369352017332687,2,2,4,3,1,1
2,0.57094253913163,1,3,3,3,2,2
2,2.48127239251815,2,2,4,4,4,4
2,1.36471941892757,2,2,3,3,3,3
2,0.876975393278181,1,3,4,4,2,2
2,1.8435121152756,1,1,1,1,3,2
2,1.24335482641095,2,3,2,3,2,2
2,1.48408600964024,2,2,2,4,2,2
2,1.37162767886629,3,3,4,4,2,2
2,0.574773105765007,2,3,4,3,2,1
2,0.698836729886888,2,2,8,3,3,3
2,1.48408600964024,2,2,2,4,1,1
2,1.1201098190977,2,2,2,2,2,2
2,0.876975393278181,2,2,4,2,1,1
2,2.48127239251815,2,3,8,8,8,8
2,1.36471941892757,2,2,4,4,2,2
2,0.547145115220469,2,2,4,4,2,2
2,0.400515591439103,2,2,3,3,1,1
2,1.74384902618096,2,3,2,2,2,2
2,0.641954590373742,2,3,3,3,2,2
2,0.345479981865039,2,3,2,4,8,1
2,1.61085560349117,1,2,4,4,3,4
2,1.65914953725018,2,2,2,4,2,2
2,1.36471941892757,2,3,3,3,2,2
2,0.547145115220469,2,3,2,4,2,2
2,0.547145115220469,2,3,2,3,1,1
2,0.641954590373742,2,2,4,4,4,4
2,0.327072319686249,2,1,1,8,1,1
2,1.36471941892757,2,2,3,3,2,2
2,0.851448705899868,2,2,4,4,4,4
2,1.36471941892757,1,2,4,4,8,2
2,0.757735351859389,2,3,2,2,2,2
2,1.09997479003515,2,2,4,3,2,2
2,1.61085560349117,2,1,2,4,2,3
2,2.48127239251815,2,3,2,3,3,3
2,0.82029453948516,2,3,2,2,2,2
2,0.876975393278181,2,2,4,2,2,2
2,0.433353449376915,1,3,2,4,2,2
2,0.757735351859389,1,3,1,8,1,8
2,2.26040324503783,1,3,8,8,8,8
2,0.940549367761587,2,2,2,3,1,2
2,1.19477960260879,3,3,4,4,4,4
2,1.91501720975137,2,2,3,3,2,1
2,0.541260425363566,2,8,2,3,2,1
2,0.476600052189658,1,2,4,4,8,4
2,0.34887591330452,1,2,2,4,2,2
2,0.940549367761587,1,1,3,4,3,2
2,0.583853442413369,2,2,8,8,8,8
2,1.19477960260879,1,8,8,9,8,9
2,1.91501720975137,3,2,8,8,8,8
2,0.31014263107127,2,3,2,4,2,2
2,0.31014263107127,1,2,1,4,3,3
2,0.31014263107127,1,2,2,4,2,2
2,0.370307815671049,1,3,2,4,2,2
2,0.482633463269807,2,2,8,8,8,8
2,0.586808930032561,3,2,4,8,8,8
2,0.741668866960787,1,3,2,2,1,1
2,0.940549367761587,1,2,3,3,2,2
2,0.31014263107127,2,3,8,4,2,2
2,2.38955920521758,2,1,1,2,8,2
2,0.940549367761587,2,2,4,4,4,4
2,0.31014263107127,1,3,4,2,1,2
2,0.586808930032561,2,2,3,3,2,2
2,0.479416959884368,2,2,3,3,2,3
2,0.396302652156764,1,3,3,3,1,2
2,0.482633463269807,2,2,3,4,8,8
2,1.24617794994009,2,3,9,9,9,9
2,0.867543291888592,2,2,3,2,1,1
2,0.31014263107127,1,1,4,4,2,2
2,0.34887591330452,2,3,2,4,1,1
2,0.777490660777182,1,2,4,4,3,3
2,0.31014263107127,2,3,2,4,2,1
2,0.697751826609041,2,3,2,8,2,2
2,0.364266274139118,1,1,4,9,8,4
2,0.559185456955479,1,2,4,4,4,2
2,0.777490660777182,2,2,3,3,1,2
2,0.364266274139118,3,2,4,1,2,8
2,0.31014263107127,1,3,2,3,1,2
2,0.364266274139118,2,3,1,3,2,2
2,0.363884242312145,2,2,4,4,2,2
2,0.497102959141763,1,1,3,4,1,1
2,0.497102959141763,2,1,4,4,2,2
2,1.03465177581891,1,2,4,3,2,2
2,0.940549367761587,2,2,3,3,2,1
2,2.48127239251815,2,8,8,8,8,8
2,0.586808930032561,2,2,3,2,3,1
2,0.31014263107127,1,3,4,2,2,3
2,1.24617794994009,2,2,4,4,2,2
2,1.24617794994009,1,2,2,4,2,2
2,0.777490660777182,2,2,4,4,2,2
2,1.40861534524387,1,2,1,1,1,1
2,0.31014263107127,2,2,2,4,2,2
2,0.940965956385498,1,3,3,4,1,1
2,1.47171170427565,2,3,1,1,2,2
2,2.17899058778687,1,2,1,8,1,8
2,1.15174737705737,2,2,3,3,2,2
2,0.539045345209143,2,2,4,4,1,1
2,0.940549367761587,2,3,2,3,2,1
2,0.459434408502016,2,1,4,4,1,1
2,0.541260425363566,2,3,4,4,2,1
2,0.31014263107127,1,3,2,2,1,1
2,1.84604427756794,2,2,4,4,4,2
2,0.777490660777182,1,2,2,3,2,2
2,0.587068839754517,2,2,8,8,8,8
2,1.35262560294249,1,2,4,4,1,2
2,1.14594655341765,1,1,4,3,1,1
2,0.429740149420878,2,3,2,2,4,1
2,0.773574796678392,2,3,2,4,1,1
2,2.08667333385801,2,2,4,4,4,4
