platform,domain,platform_type,category,month,visits,metric,source,collection_date
ChatGPT,chatgpt.com,AI platform,general_help_seeking,2025-10-01,6170000000,visits,WebsiteTrafficChecker,2026-05-03
ChatGPT,chatgpt.com,AI platform,general_help_seeking,2025-11-01,5840000000,visits,WebsiteTrafficChecker,2026-05-03
ChatGPT,chatgpt.com,AI platform,general_help_seeking,2025-12-01,5520000000,visits,WebsiteTrafficChecker,2026-05-03
ChatGPT,chatgpt.com,AI platform,general_help_seeking,2026-01-01,5720000000,visits,WebsiteTrafficChecker,2026-05-03
ChatGPT,chatgpt.com,AI platform,general_help_seeking,2026-02-01,5350000000,visits,WebsiteTrafficChecker,2026-05-03
ChatGPT,chatgpt.com,AI platform,general_help_seeking,2026-03-01,5730000000,visits,WebsiteTrafficChecker,2026-05-03
Claude,claude.ai,AI platform,general_help_seeking,2025-10-01,197000000,visits,WebsiteTrafficChecker,2026-05-03
Claude,claude.ai,AI platform,general_help_seeking,2025-11-01,180310000,visits,WebsiteTrafficChecker,2026-05-03
Claude,claude.ai,AI platform,general_help_seeking,2025-12-01,172690000,visits,WebsiteTrafficChecker,2026-05-03
Claude,claude.ai,AI platform,general_help_seeking,2026-01-01,202930000,visits,WebsiteTrafficChecker,2026-05-03
Claude,claude.ai,AI platform,general_help_seeking,2026-02-01,290330000,visits,WebsiteTrafficChecker,2026-05-03
Claude,claude.ai,AI platform,general_help_seeking,2026-03-01,310000000,visits,WebsiteTrafficChecker,2026-05-03
Character AI,character.ai,AI platform,ai_interaction,2025-10-01,185570000,visits,WebsiteTrafficChecker,2026-05-03
Character AI,character.ai,AI platform,ai_interaction,2025-11-01,181290000,visits,WebsiteTrafficChecker,2026-05-03
Character AI,character.ai,AI platform,ai_interaction,2025-12-01,191310000,visits,WebsiteTrafficChecker,2026-05-03
Character AI,character.ai,AI platform,ai_interaction,2026-01-01,194400000,visits,WebsiteTrafficChecker,2026-05-03
