"Time","quora","chatgpt help"
"2021-04-01",70,0
"2021-05-01",81,0
"2021-06-01",80,0
"2021-07-01",79,0
"2021-08-01",82,0
"2021-09-01",74,0
"2021-10-01",77,0
"2021-11-01",71,0
"2021-12-01",73,0
"2022-01-01",81,0
"2022-02-01",91,0
"2022-03-01",99,0
"2022-04-01",100,0
"2022-05-01",93,0
"2022-06-01",94,0
"2022-07-01",98,0
"2022-08-01",88,0
"2022-09-01",95,0
"2022-10-01",85,0
"2022-11-01",81,0
"2022-12-01",78,0
"2023-01-01",82,1
"2023-02-01",80,2
"2023-03-01",78,2
"2023-04-01",74,2
"2023-05-01",81,2
"2023-06-01",82,1
"2023-07-01",84,1
"2023-08-01",78,1
"2023-09-01",72,2
"2023-10-01",68,2
"2023-11-01",65,2
"2023-12-01",69,2
"2024-01-01",69,2
"2024-02-01",62,2
"2024-03-01",61,2
"2024-04-01",62,2
"2024-05-01",65,2
"2024-06-01",65,2
"2024-07-01",62,1
"2024-08-01",63,2
"2024-09-01",58,2
"2024-10-01",51,3
"2024-11-01",49,3
"2024-12-01",50,3
"2025-01-01",49,3
"2025-02-01",46,4
"2025-03-01",44,3
"2025-04-01",42,4
"2025-05-01",41,4
"2025-06-01",40,4
"2025-07-01",38,4
"2025-08-01",36,24
"2025-09-01",32,17
"2025-10-01",30,17
"2025-11-01",29,16
"2025-12-01",30,12
"2026-01-01",27,10
"2026-02-01",25,13
"2026-03-01",28,20
"2026-04-01",33,9
